DATE,T2M,T2MDEW,PRECTOTCORR,WS10M,PS
2010-01-01,23.43,17.97,0.0,3.28,95.1
2010-01-02,22.71,16.1,0.0,3.39,95.24
2010-01-03,21.14,15.88,0.0,2.92,95.28
2010-01-04,21.93,14.5,0.0,2.39,95.12
2010-01-05,22.06,14.31,0.0,1.57,94.96
2010-01-06,21.89,15.33,0.0,2.83,94.99
2010-01-07,22.78,16.85,0.0,2.32,95.06
2010-01-08,23.21,16.81,0.0,2.11,95.09
2010-01-09,24.54,19.59,0.28,2.95,95.04
2010-01-10,24.44,19.07,0.41,2.59,95.13
2010-01-11,24.62,18.73,0.03,2.33,95.25
2010-01-12,24.87,19.56,2.17,1.61,95.3
2010-01-13,25.26,20.34,0.81,1.35,95.31
2010-01-14,25.0,18.96,0.05,3.3,95.37
2010-01-15,24.07,17.33,0.0,3.94,95.46
2010-01-16,23.04,16.54,0.0,4.18,95.56
2010-01-17,23.3,15.58,0.0,3.56,95.58
2010-01-18,23.24,16.71,0.0,2.74,95.49
2010-01-19,23.91,17.21,0.0,2.88,95.31
2010-01-20,23.63,16.95,0.2,2.73,95.36
2010-01-21,22.79,15.62,0.17,2.9,95.29
2010-01-22,21.66,12.78,0.0,2.56,95.28
2010-01-23,21.24,11.43,0.0,3.15,95.28
2010-01-24,21.57,13.17,0.0,2.88,95.2
2010-01-25,22.45,14.81,0.0,2.44,95.18
2010-01-26,23.4,15.75,0.0,2.81,95.25
2010-01-27,24.03,15.76,0.0,2.78,95.25
2010-01-28,24.04,16.84,0.0,3.86,95.28
2010-01-29,24.33,15.31,0.0,3.65,95.3
2010-01-30,24.07,14.33,0.0,3.05,95.3
2010-01-31,23.67,15.34,0.0,2.49,95.32
2010-02-01,23.83,14.95,0.0,2.89,95.27
2010-02-02,23.42,12.76,0.0,3.14,95.19
2010-02-03,23.51,11.03,0.0,3.48,95.18
2010-02-04,23.41,12.14,0.0,3.08,95.24
2010-02-05,23.56,11.98,0.0,3.54,95.28
2010-02-06,22.99,10.78,0.0,4.07,95.32
2010-02-07,23.19,12.6,0.0,3.7,95.3
2010-02-08,24.31,13.09,0.0,2.63,95.14
2010-02-09,24.86,12.95,0.0,1.84,95.04
2010-02-10,25.87,15.17,0.0,1.72,95.06
2010-02-11,25.94,12.98,0.0,2.41,95.21
2010-02-12,26.5,14.56,0.0,2.81,95.2
2010-02-13,26.96,15.27,0.07,2.39,95.09
2010-02-14,27.24,13.5,0.01,2.6,94.99
2010-02-15,26.2,13.22,0.0,3.21,95.01
2010-02-16,25.74,11.55,0.0,2.77,95.11
2010-02-17,26.2,14.22,0.0,2.55,95.17
2010-02-18,27.1,13.58,0.0,2.04,95.22
2010-02-19,26.46,14.39,0.0,2.24,95.25
2010-02-20,26.74,10.47,0.0,2.24,95.24
2010-02-21,27.15,13.03,0.0,2.64,95.23
2010-02-22,28.01,13.0,0.0,2.24,95.17
2010-02-23,27.93,15.28,0.1,1.53,95.09
2010-02-24,28.36,18.0,0.0,2.2,94.97
2010-02-25,28.6,17.5,0.0,1.65,94.98
2010-02-26,29.05,15.6,0.0,1.17,95.06
2010-02-27,28.96,13.31,0.0,2.08,95.05
2010-02-28,28.13,11.61,0.0,2.43,95.13
2010-03-01,27.12,8.26,0.0,2.61,95.2
2010-03-02,27.33,8.59,0.0,2.3,95.18
2010-03-03,27.84,6.27,0.0,1.92,95.05
2010-03-04,28.42,14.11,0.0,1.51,95.02
2010-03-05,28.87,18.0,0.0,2.62,95.03
2010-03-06,28.88,17.76,0.0,3.06,95.09
2010-03-07,29.66,16.56,0.0,2.23,95.08
2010-03-08,29.71,14.5,0.0,2.74,95.09
2010-03-09,29.19,10.67,0.0,2.75,95.18
2010-03-10,27.98,13.58,0.0,3.66,95.26
2010-03-11,28.18,15.27,0.0,4.48,95.33
2010-03-12,27.95,14.83,0.0,4.52,95.39
2010-03-13,28.26,13.7,0.0,3.18,95.27
2010-03-14,29.14,12.62,0.0,1.97,95.13
2010-03-15,30.02,14.79,0.0,1.6,95.04
2010-03-16,28.5,15.43,0.19,1.62,95.1
2010-03-17,28.49,12.61,0.01,3.1,95.19
2010-03-18,27.65,13.7,0.0,3.98,95.31
2010-03-19,27.92,12.1,0.0,3.16,95.2
2010-03-20,29.05,10.54,0.0,2.22,95.07
2010-03-21,29.36,9.24,0.0,2.2,94.94
2010-03-22,29.2,9.81,0.0,1.32,94.78
2010-03-23,29.2,11.97,0.0,2.21,94.67
2010-03-24,29.47,13.86,0.0,1.89,94.75
2010-03-25,29.15,12.95,0.0,1.91,94.81
2010-03-26,29.64,16.75,1.19,2.11,94.82
2010-03-27,29.12,19.57,1.23,2.78,94.92
2010-03-28,29.86,18.75,0.01,1.88,94.96
2010-03-29,29.43,19.45,0.0,2.19,95.02
2010-03-30,29.16,19.59,2.86,3.0,95.02
2010-03-31,28.27,20.09,0.93,3.51,95.03
2010-04-01,29.37,18.7,0.04,3.04,94.93
2010-04-02,30.57,18.28,0.01,2.76,94.86
2010-04-03,30.56,19.22,0.17,2.13,94.89
2010-04-04,30.66,18.13,0.08,1.98,94.99
2010-04-05,29.65,18.6,1.97,1.92,94.98
2010-04-06,28.64,14.66,0.49,3.03,95.01
2010-04-07,30.18,14.09,0.25,3.0,95.03
2010-04-08,28.71,17.73,5.06,2.67,95.16
2010-04-09,29.29,19.23,0.2,2.08,95.02
2010-04-10,28.73,19.61,0.0,2.15,94.83
2010-04-11,29.64,19.04,0.0,2.24,94.73
2010-04-12,28.44,21.36,1.75,3.27,94.82
2010-04-13,28.37,20.9,2.17,2.56,94.83
2010-04-14,27.7,21.68,1.27,1.95,94.86
2010-04-15,28.72,20.19,0.31,1.79,94.92
2010-04-16,28.36,18.44,2.74,1.94,94.94
2010-04-17,27.73,21.37,7.68,2.41,95.02
2010-04-18,27.55,21.27,1.26,2.51,95.04
2010-04-19,26.49,21.61,0.1,2.87,94.98
2010-04-20,26.48,22.01,3.39,2.55,94.83
2010-04-21,26.85,21.28,0.78,3.09,94.82
2010-04-22,28.79,20.65,0.48,1.48,94.82
2010-04-23,27.6,21.89,3.31,1.86,94.92
2010-04-24,26.88,22.45,3.07,1.57,94.9
2010-04-25,26.9,21.89,4.01,1.3,94.82
2010-04-26,27.41,21.27,4.45,1.05,95.03
2010-04-27,27.4,21.23,5.66,1.23,95.16
2010-04-28,27.49,21.22,2.96,1.69,95.05
2010-04-29,27.35,21.62,0.81,1.37,94.93
2010-04-30,26.5,21.79,15.45,1.83,95.0
2010-05-01,26.23,19.03,1.43,1.64,95.06
2010-05-02,26.49,20.56,4.28,1.26,94.92
2010-05-03,26.54,22.16,8.12,1.13,94.76
2010-05-04,26.81,22.29,6.25,2.06,94.63
2010-05-05,27.71,21.92,1.04,2.54,94.59
2010-05-06,29.07,21.55,1.45,1.84,94.53
2010-05-07,27.9,22.69,2.14,2.1,94.57
2010-05-08,27.95,22.51,2.14,1.78,94.63
2010-05-09,26.68,22.83,1.16,2.09,94.65
2010-05-10,27.49,21.41,0.43,2.65,94.65
2010-05-11,27.25,21.87,0.28,3.28,94.69
2010-05-12,28.39,21.89,0.02,2.79,94.68
2010-05-13,28.74,21.54,0.02,2.55,94.65
2010-05-14,27.47,21.35,0.02,3.45,94.7
2010-05-15,27.65,20.52,1.15,2.81,94.68
2010-05-16,28.29,22.29,1.55,3.05,94.62
2010-05-17,28.32,22.21,6.32,2.16,94.64
2010-05-18,26.25,22.34,4.09,3.77,94.6
2010-05-19,25.13,22.14,5.87,4.41,94.51
2010-05-20,26.0,22.83,2.48,5.91,94.51
2010-05-21,25.93,22.16,2.02,5.39,94.65
2010-05-22,26.65,20.84,0.37,4.33,94.7
2010-05-23,26.59,22.32,3.64,4.19,94.72
2010-05-24,26.17,22.39,1.19,4.49,94.72
2010-05-25,24.67,21.76,8.07,5.11,94.83
2010-05-26,25.72,20.64,2.02,4.59,94.79
2010-05-27,26.88,21.94,0.61,4.62,94.77
2010-05-28,26.64,22.29,7.96,4.58,94.86
2010-05-29,25.6,22.16,5.33,5.14,94.86
2010-05-30,25.44,21.36,7.4,4.98,94.89
2010-05-31,24.81,21.17,2.47,4.88,94.92
2010-06-01,26.31,21.01,0.2,4.45,94.88
2010-06-02,27.5,21.88,7.59,3.48,94.93
2010-06-03,27.61,20.82,1.42,2.75,94.99
2010-06-04,27.31,22.03,11.17,2.69,95.03
2010-06-05,24.94,21.85,6.35,4.17,95.05
2010-06-06,24.39,20.29,11.27,4.8,94.92
2010-06-07,23.77,20.26,5.86,4.58,94.91
2010-06-08,23.82,20.69,5.1,3.48,94.86
2010-06-09,24.93,21.9,8.53,3.96,94.66
2010-06-10,24.47,22.19,5.93,3.92,94.48
2010-06-11,23.94,22.05,19.89,6.13,94.42
2010-06-12,24.5,21.85,29.51,6.17,94.44
2010-06-13,24.1,22.52,16.08,4.87,94.53
2010-06-14,24.06,21.33,11.42,5.99,94.85
2010-06-15,24.23,21.23,3.09,5.05,94.83
2010-06-16,24.25,21.81,2.04,3.35,94.87
2010-06-17,23.91,21.51,6.44,4.8,94.88
2010-06-18,23.93,21.31,3.88,4.3,94.86
2010-06-19,24.41,20.92,2.32,4.42,94.8
2010-06-20,24.52,21.43,0.95,3.58,94.85
2010-06-21,24.26,20.93,2.11,3.61,94.87
2010-06-22,23.79,21.37,6.72,4.02,94.79
2010-06-23,24.15,21.59,9.19,5.74,94.78
2010-06-24,23.39,20.36,8.97,6.23,94.7
2010-06-25,23.51,20.32,5.52,6.12,94.58
2010-06-26,24.45,21.55,6.64,6.39,94.6
2010-06-27,24.71,21.97,5.62,5.04,94.63
2010-06-28,24.76,22.37,8.32,4.74,94.67
2010-06-29,24.6,22.13,6.09,5.04,94.69
2010-06-30,23.13,20.36,6.14,5.7,94.71
2010-07-01,21.89,19.49,4.23,5.45,94.71
2010-07-02,22.97,19.41,1.39,5.68,94.65
2010-07-03,23.16,19.94,5.4,6.14,94.65
2010-07-04,23.79,20.93,9.02,5.34,94.7
2010-07-05,22.6,19.98,6.56,5.6,94.81
2010-07-06,22.54,20.22,3.11,4.82,94.83
2010-07-07,23.2,20.31,1.08,3.42,94.92
2010-07-08,23.46,20.35,6.51,2.54,94.99
2010-07-09,22.88,20.21,1.44,1.82,94.93
2010-07-10,24.6,21.41,9.56,1.5,94.85
2010-07-11,25.16,22.07,2.58,2.67,94.87
2010-07-12,23.78,21.58,1.11,3.19,94.9
2010-07-13,23.2,21.22,4.13,3.2,94.91
2010-07-14,23.54,20.77,2.82,3.47,94.83
2010-07-15,23.75,21.08,7.49,4.18,94.69
2010-07-16,22.94,21.17,10.66,5.79,94.53
2010-07-17,22.48,20.16,9.77,5.63,94.63
2010-07-18,23.42,20.87,7.23,4.94,94.72
2010-07-19,23.48,21.13,11.11,6.63,94.65
2010-07-20,23.3,20.84,5.03,6.81,94.63
2010-07-21,23.41,20.99,5.13,5.57,94.71
2010-07-22,23.02,20.43,1.15,4.57,94.78
2010-07-23,22.9,20.07,1.92,4.41,94.83
2010-07-24,22.54,20.21,2.54,4.71,94.8
2010-07-25,22.68,20.36,3.3,5.57,94.66
2010-07-26,23.06,20.61,8.2,5.83,94.75
2010-07-27,23.68,21.26,8.27,5.59,94.79
2010-07-28,23.09,20.31,5.68,6.1,94.75
2010-07-29,22.92,20.42,18.6,6.29,94.69
2010-07-30,23.07,20.35,4.39,5.62,94.75
2010-07-31,23.25,20.61,1.32,5.34,94.85
2010-08-01,23.81,20.83,0.49,4.31,94.93
2010-08-02,23.77,20.83,2.17,4.22,94.87
2010-08-03,23.4,21.06,4.14,5.41,94.76
2010-08-04,23.44,21.34,4.93,5.49,94.69
2010-08-05,23.77,21.52,1.4,4.39,94.81
2010-08-06,23.84,21.48,1.95,4.59,94.88
2010-08-07,24.09,21.59,2.13,3.99,94.83
2010-08-08,24.08,21.79,2.17,3.87,94.81
2010-08-09,24.89,21.5,1.43,4.11,94.78
2010-08-10,24.72,21.14,0.44,3.82,94.75
2010-08-11,24.52,21.07,0.36,4.77,94.72
2010-08-12,24.83,21.58,0.82,4.53,94.56
2010-08-13,24.77,21.5,3.15,4.2,94.58
2010-08-14,23.87,21.56,5.94,4.17,94.64
2010-08-15,23.8,22.11,14.87,4.34,94.63
2010-08-16,23.04,21.1,13.53,5.65,94.73
2010-08-17,23.67,20.66,2.27,4.66,94.67
2010-08-18,23.4,20.63,1.11,4.29,94.69
2010-08-19,23.87,20.79,0.94,3.0,94.73
2010-08-20,23.21,20.99,35.53,2.24,94.8
2010-08-21,22.17,20.53,5.42,3.88,94.72
2010-08-22,23.22,21.16,0.7,3.95,94.66
2010-08-23,23.35,21.35,1.78,2.77,94.62
2010-08-24,22.84,21.12,5.27,4.32,94.51
2010-08-25,22.52,20.8,2.44,4.59,94.53
2010-08-26,23.02,20.55,2.08,4.4,94.66
2010-08-27,22.99,21.01,2.22,4.58,94.72
2010-08-28,23.63,21.71,3.13,4.24,94.73
2010-08-29,23.76,21.78,3.58,4.83,94.78
2010-08-30,22.37,20.57,3.8,5.75,94.83
2010-08-31,22.62,19.69,0.62,4.57,94.82
2010-09-01,22.76,20.56,0.23,3.76,94.89
2010-09-02,23.65,20.84,0.48,3.3,94.96
2010-09-03,23.83,21.03,0.7,3.62,94.82
2010-09-04,23.3,20.87,0.05,3.9,94.79
2010-09-05,23.62,20.65,0.26,3.73,94.96
2010-09-06,23.26,20.77,0.3,3.82,94.93
2010-09-07,23.68,20.85,2.37,4.45,94.79
2010-09-08,23.07,20.97,3.86,4.59,94.79
2010-09-09,23.67,21.21,11.01,3.94,94.85
2010-09-10,23.44,21.42,12.77,4.04,94.82
2010-09-11,23.01,20.0,4.6,3.3,94.88
2010-09-12,24.14,20.86,4.25,2.51,94.85
2010-09-13,23.0,20.4,5.56,3.42,94.84
2010-09-14,22.93,20.16,2.54,3.77,94.75
2010-09-15,22.55,20.28,4.46,4.14,94.75
2010-09-16,23.15,20.42,1.7,4.4,94.73
2010-09-17,23.85,20.98,1.0,4.28,94.68
2010-09-18,23.22,20.57,2.58,4.1,94.61
